Version:	0.100000
Fitness:	0.000000	0.102538
Sample:	1
PopSize:	1000
NoQTL:	1
Ploidy:	2
OptimizeVariance:	0.000527
Drift:	False
EnvVar:	0.012599
MutationScalar:	0.002100
MutationVar:	0.000026
Generations:	6500
ChangeFitnessSD:	5000	0.099119
MoveFitnessSD:	5000	1.815636
MoveType:	Phenotype
Seed:	821759058
PheotypeVar:	0.013126
Heritabitlity:	0.040184
StandardisePhenotype:	False
InitFitnessSD:	-1.000000
Generation	Phenotype Mean	Phenotype Ratio	Genotype Var	P Survived	Surviving Slope	Surviving Standardised Slope	w	
80	-0.003567	-0.030271	0.001295	666	4.565815	0.352209	0.251646	
81	-0.007328	-0.060854	0.001314	656	4.511154	0.342403	0.255380	
82	0.005031	0.043861	0.001341	673	4.539181	0.338665	0.260588	
83	-0.005386	-0.045108	0.001326	640	4.578499	0.345456	0.257806	
84	0.001096	0.009497	0.001424	646	4.504270	0.326070	0.276824	
85	0.001111	0.009595	0.001303	682	4.539418	0.348529	0.253274	
86	-0.001985	-0.017349	0.001342	699	4.563358	0.349434	0.260856	
87	0.006258	0.053186	0.001236	637	4.558846	0.346909	0.240272	
88	-0.004915	-0.040798	0.001363	642	4.603854	0.356912	0.265036	
89	-0.003758	-0.031111	0.001327	642	4.547098	0.356721	0.257927	
90	0.004166	0.034824	0.001233	641	4.613011	0.364849	0.239598	
91	-0.000767	-0.006534	0.001241	666	4.563171	0.358948	0.241203	
92	0.008026	0.068803	0.001168	632	4.533861	0.339100	0.227079	
93	0.002185	0.019450	0.001330	677	4.640152	0.361867	0.258597	
94	0.005985	0.051550	0.001299	674	4.568413	0.345569	0.252482	
95	0.004964	0.042764	0.001184	642	4.577319	0.344893	0.230189	
96	0.004195	0.035954	0.001232	661	4.541051	0.340458	0.239552	
97	-0.005528	-0.048616	0.001354	678	4.455455	0.346825	0.263222	
98	0.007062	0.057832	0.001352	654	4.593928	0.353020	0.262746	
99	0.000905	0.007786	0.001295	669	4.556515	0.348744	0.251654	
100	0.005022	0.041633	0.001246	669	4.562210	0.364776	0.242195	
101	0.007850	0.067003	0.001253	660	4.562742	0.370059	0.243523	
102	-0.001423	-0.012324	0.001234	662	4.514806	0.348572	0.239826	
103	0.000753	0.006446	0.001191	646	4.508092	0.343327	0.231518	
104	-0.001468	-0.012391	0.001139	655	4.581100	0.345075	0.221433	
105	0.002519	0.020782	0.001200	646	4.540032	0.357468	0.233312	
106	0.002275	0.019095	0.001268	640	4.483290	0.339266	0.246435	
107	-0.005394	-0.046323	0.001142	670	4.567603	0.358191	0.222014	
108	0.001142	0.009523	0.001101	656	4.538253	0.362344	0.214062	
109	-0.003711	-0.030981	0.001215	672	4.561216	0.352428	0.236145	
110	-0.000204	-0.001795	0.001034	663	4.588322	0.359072	0.201075	
111	0.001685	0.014262	0.001111	670	4.377545	0.351395	0.215977	
112	-0.000803	-0.006703	0.001143	633	4.589444	0.365359	0.222269	
113	0.008947	0.076098	0.001114	654	4.550259	0.357919	0.216555	
114	-0.000957	-0.008116	0.001161	668	4.553537	0.356127	0.225727	
115	-0.001259	-0.010652	0.001136	658	4.566289	0.378406	0.220846	
116	0.000957	0.008251	0.001215	650	4.485735	0.337627	0.236216	
117	0.006448	0.055247	0.001046	659	4.601360	0.361639	0.203258	
118	0.003609	0.029992	0.001004	648	4.603862	0.367301	0.195268	
119	-0.005336	-0.046273	0.001019	652	4.561224	0.346125	0.198132	
120	0.000619	0.005357	0.000967	644	4.614142	0.358849	0.187900	
121	0.000235	0.002093	0.000905	659	4.617156	0.356612	0.175889	
122	0.010239	0.088082	0.001003	640	4.504677	0.336563	0.194936	
123	0.005613	0.047865	0.001010	638	4.602466	0.364469	0.196289	
124	0.002697	0.023846	0.000965	671	4.583289	0.336685	0.187538	
125	0.009666	0.080638	0.000950	649	4.573890	0.364482	0.184599	
126	0.002399	0.020997	0.000886	658	4.575112	0.351786	0.172266	
127	-0.005527	-0.047269	0.000926	652	4.626178	0.367356	0.179981	
128	-0.002057	-0.017468	0.000896	635	4.548590	0.343202	0.174206	
129	-0.003073	-0.026192	0.000901	647	4.565786	0.355964	0.175188	
