Version:	0.100000
Fitness:	0.000000	0.102538
Sample:	1
PopSize:	1000
NoQTL:	1
Ploidy:	2
OptimizeVariance:	0.000527
Drift:	False
EnvVar:	0.012599
MutationScalar:	0.002100
MutationVar:	0.000026
Generations:	6500
ChangeFitnessSD:	5000	0.099119
MoveFitnessSD:	5000	1.815636
MoveType:	Phenotype
Seed:	821759058
PheotypeVar:	0.013126
Heritabitlity:	0.040184
StandardisePhenotype:	False
InitFitnessSD:	-1.000000
Generation	Phenotype Mean	Phenotype Ratio	Genotype Var	P Survived	Surviving Slope	Surviving Standardised Slope	w	
1805	0.003931	0.034450	0.001139	662	4.520145	0.350587	0.221467	
1806	0.001314	0.011224	0.001067	658	4.549363	0.342352	0.207452	
1807	0.000180	0.001561	0.001155	671	4.500479	0.332958	0.224513	
1808	0.002417	0.021581	0.001087	678	4.590243	0.349573	0.211316	
1809	0.006178	0.052649	0.001115	672	4.534242	0.354664	0.216826	
1810	0.003842	0.032854	0.001186	659	4.630203	0.360620	0.230458	
1811	-0.007548	-0.063547	0.001168	652	4.575529	0.346299	0.227055	
1812	-0.001628	-0.014265	0.001125	660	4.542471	0.357309	0.218628	
1813	0.006136	0.050743	0.001127	640	4.531133	0.351689	0.219130	
1814	0.009812	0.083745	0.001315	641	4.481629	0.327866	0.255655	
1815	-0.002057	-0.017007	0.001188	651	4.542523	0.342637	0.230955	
1816	-0.005284	-0.044890	0.001084	645	4.541414	0.355171	0.210627	
1817	-0.001793	-0.015181	0.001243	629	4.524155	0.339674	0.241720	
1818	-0.006251	-0.053531	0.001073	656	4.523634	0.358013	0.208626	
1819	0.000910	0.008002	0.001183	666	4.575513	0.338410	0.229962	
1820	0.005831	0.049857	0.001164	662	4.476690	0.343026	0.226215	
1821	-0.001049	-0.009028	0.001039	658	4.509675	0.343362	0.202029	
1822	-0.003156	-0.026616	0.001087	643	4.516961	0.349920	0.211310	
1823	0.005685	0.046493	0.000988	638	4.602672	0.376689	0.191978	
1824	0.003686	0.032850	0.001049	670	4.553535	0.346420	0.203848	
1825	0.001625	0.013528	0.000985	638	4.628861	0.356619	0.191528	
1826	-0.001649	-0.014465	0.000954	662	4.586626	0.345355	0.185441	
1827	0.008836	0.074095	0.000825	658	4.575966	0.356444	0.160388	
1828	0.006102	0.052739	0.000940	654	4.548022	0.358344	0.182820	
1829	-0.001938	-0.016858	0.001015	671	4.507641	0.332860	0.197372	
1830	0.008395	0.071128	0.001032	654	4.603133	0.357622	0.200642	
1831	0.006495	0.056261	0.000993	648	4.499777	0.330374	0.192944	
1832	0.000806	0.006982	0.000905	650	4.636026	0.360022	0.175909	
1833	0.001550	0.013040	0.000945	649	4.521281	0.362368	0.183638	
1834	-0.000395	-0.003385	0.000942	642	4.625831	0.348885	0.183070	
1835	0.003783	0.032503	0.001006	659	4.568612	0.357388	0.195610	
1836	0.001693	0.014904	0.000974	670	4.584621	0.348912	0.189369	
1837	-0.003751	-0.032035	0.000899	661	4.591577	0.353728	0.174774	
1838	-0.006351	-0.053912	0.000926	642	4.553060	0.347760	0.180060	
1839	-0.010183	-0.086485	0.000917	660	4.631950	0.353625	0.178327	
1840	-0.001560	-0.013695	0.001004	675	4.560436	0.342962	0.195197	
1841	-0.003864	-0.033174	0.001000	648	4.525399	0.342478	0.194310	
1842	-0.005604	-0.046041	0.001085	652	4.507085	0.347621	0.210874	
1843	-0.009130	-0.078687	0.001247	646	4.554500	0.341622	0.242410	
1844	-0.005466	-0.047776	0.001210	652	4.551724	0.352890	0.235244	
1845	-0.005624	-0.047794	0.001277	648	4.530092	0.348534	0.248314	
1846	-0.001165	-0.009767	0.001211	657	4.585951	0.333454	0.235329	
1847	-0.001260	-0.010905	0.001158	656	4.547166	0.355900	0.225184	
1848	0.003209	0.027895	0.001167	677	4.571910	0.354143	0.226781	
1849	0.000116	0.001006	0.001098	662	4.550971	0.364064	0.213526	
1850	-0.004415	-0.038371	0.001013	643	4.639903	0.349193	0.196870	
1851	-0.003387	-0.028101	0.001096	670	4.577376	0.346375	0.213103	
1852	0.002481	0.021042	0.001137	659	4.565122	0.350472	0.220958	
1853	-0.004918	-0.041652	0.001046	647	4.546393	0.358779	0.203316	
1854	-0.001177	-0.010026	0.001057	663	4.500719	0.347541	0.205501	
1855	-0.002086	-0.017814	0.001016	653	4.513997	0.350343	0.197430	
1856	-0.007839	-0.065159	0.001140	641	4.591925	0.363325	0.221684	
1857	0.005807	0.050301	0.000984	668	4.570704	0.353631	0.191319	
1858	-0.003635	-0.032194	0.001048	669	4.595003	0.361600	0.203789	
1859	-0.002361	-0.020549	0.001004	669	4.499739	0.349005	0.195162	
1860	-0.003875	-0.032968	0.001053	671	4.591100	0.366074	0.204628	
1861	-0.013013	-0.112216	0.001124	660	4.599486	0.343016	0.218553	
1862	-0.002209	-0.019628	0.001218	665	4.646596	0.351668	0.236848	
1863	-0.006502	-0.054636	0.001122	648	4.582285	0.353458	0.218096	
1864	-0.002499	-0.020649	0.001073	651	4.557492	0.353944	0.208547	
1865	-0.003509	-0.029737	0.001053	684	4.485891	0.361673	0.204777	
1866	0.001161	0.009559	0.001073	650	4.507449	0.361601	0.208608	
1867	0.000416	0.003562	0.001079	673	4.576822	0.350488	0.209706	
1868	0.003597	0.030276	0.001220	647	4.543599	0.351986	0.237150	
1869	0.004103	0.034739	0.001175	641	4.586730	0.363380	0.228506	
1870	0.005943	0.049787	0.001196	649	4.596221	0.361942	0.232458	
1871	0.000567	0.004918	0.001078	669	4.550125	0.351758	0.209603	
1872	0.004698	0.042379	0.001037	677	4.615417	0.342440	0.201604	
1873	0.003375	0.028694	0.001018	678	4.604975	0.363263	0.197800	
1874	0.003328	0.027979	0.001022	646	4.580463	0.361674	0.198624	
1875	0.003171	0.026234	0.001032	658	4.515903	0.348526	0.200712	
1876	0.001764	0.015274	0.001006	677	4.465177	0.329589	0.195596	
1877	0.000881	0.007341	0.001056	634	4.611222	0.361930	0.205253	
1878	0.003823	0.032502	0.001100	639	4.580192	0.365389	0.213914	
1879	0.003469	0.030688	0.001110	655	4.534450	0.326710	0.215812	
1880	-0.000083	-0.000698	0.001074	624	4.599615	0.342309	0.208719	
1881	0.000074	0.000644	0.001063	650	4.546023	0.338304	0.206559	
1882	0.005745	0.049824	0.000993	648	4.546177	0.348965	0.193118	
1883	-0.002182	-0.018897	0.001187	654	4.526102	0.337189	0.230782	
1884	-0.000848	-0.006983	0.001151	651	4.627729	0.362409	0.223675	
1885	-0.000637	-0.005213	0.001165	636	4.559038	0.356392	0.226561	
1886	0.000201	0.001721	0.001217	675	4.578201	0.358000	0.236569	
1887	0.002769	0.023258	0.001134	635	4.538097	0.341111	0.220460	
1888	0.000699	0.005931	0.001184	662	4.517623	0.349126	0.230165	
1889	-0.004785	-0.040974	0.001148	636	4.462461	0.345620	0.223116	
1890	0.007062	0.060842	0.001052	666	4.507933	0.339160	0.204493	
1891	0.005406	0.046185	0.001156	626	4.534430	0.335942	0.224628	
1892	0.009387	0.079699	0.001219	656	4.601728	0.366400	0.236976	
1893	0.008061	0.068459	0.001181	661	4.629036	0.373660	0.229546	
1894	0.003023	0.026483	0.001212	686	4.556343	0.347685	0.235675	
1895	0.012106	0.102687	0.001168	658	4.512655	0.350122	0.227101	
1896	0.007910	0.067136	0.001051	649	4.573882	0.359540	0.204309	
1897	0.005358	0.044556	0.001143	658	4.555463	0.360607	0.222140	
1898	0.003563	0.031128	0.001039	681	4.588486	0.355913	0.201921	
1899	0.005032	0.042467	0.001114	635	4.471609	0.343959	0.216590	
1900	0.003575	0.030625	0.001167	665	4.644885	0.373178	0.226852	
1901	-0.000695	-0.005940	0.001158	660	4.590211	0.347822	0.225172	
1902	0.007895	0.070142	0.001175	654	4.560355	0.339912	0.228489	
1903	0.005906	0.051428	0.001107	665	4.537889	0.355191	0.215201	
1904	0.005242	0.044399	0.001223	650	4.638734	0.355913	0.237837	
1905	0.011061	0.094648	0.001250	671	4.459785	0.348080	0.242934	
1906	0.006273	0.052744	0.001285	650	4.427759	0.345991	0.249822	
1907	0.004759	0.041520	0.001333	648	4.504698	0.335449	0.259099	
1908	-0.000974	-0.008334	0.001388	683	4.573954	0.368713	0.269832	
1909	0.010507	0.088318	0.001307	656	4.541016	0.350150	0.254100	
1910	0.003027	0.024668	0.001228	649	4.673685	0.376030	0.238795	
1911	-0.001005	-0.008511	0.001230	678	4.503397	0.348268	0.239015	
1912	0.004003	0.033458	0.001308	655	4.552966	0.348015	0.254235	
1913	0.005213	0.045810	0.001152	683	4.554410	0.354059	0.224037	
1914	0.006843	0.057559	0.001196	651	4.544417	0.354163	0.232592	
1915	0.003350	0.028592	0.001130	634	4.524929	0.340096	0.219688	
1916	0.001762	0.014672	0.001186	655	4.525942	0.347362	0.230589	
1917	-0.000732	-0.006194	0.001197	649	4.594348	0.363130	0.232744	
1918	0.002097	0.017325	0.001252	631	4.589551	0.351289	0.243441	
1919	-0.002620	-0.021885	0.001185	664	4.582161	0.364625	0.230385	
1920	-0.003285	-0.027904	0.001167	655	4.552469	0.341619	0.226933	
1921	0.003393	0.029481	0.001260	661	4.528983	0.359838	0.244873	
1922	-0.001473	-0.012914	0.001292	677	4.553255	0.359820	0.251091	
1923	-0.003629	-0.030653	0.001243	648	4.554145	0.350614	0.241712	
1924	-0.004424	-0.037125	0.001281	659	4.627913	0.369509	0.249051	
1925	-0.005898	-0.049758	0.001230	657	4.576412	0.360566	0.239075	
1926	-0.003087	-0.026726	0.001177	654	4.464169	0.337967	0.228729	
1927	-0.000849	-0.007125	0.001174	643	4.594343	0.354037	0.228226	
1928	-0.000134	-0.001137	0.001206	639	4.572748	0.345760	0.234475	
1929	-0.002195	-0.018590	0.001311	637	4.608848	0.358868	0.254871	
1930	0.004164	0.037339	0.001311	685	4.494113	0.344223	0.254756	
1931	-0.003502	-0.029915	0.001244	651	4.614043	0.366964	0.241762	
1932	-0.002479	-0.021047	0.001353	667	4.537184	0.356055	0.263105	
1933	-0.009057	-0.076781	0.001264	662	4.613557	0.376639	0.245702	
1934	-0.001545	-0.013030	0.001169	665	4.593854	0.359470	0.227171	
1935	-0.003449	-0.029843	0.001124	668	4.549775	0.341537	0.218558	
1936	-0.001957	-0.017223	0.001128	656	4.531242	0.336557	0.219182	
1937	-0.008484	-0.073411	0.001201	670	4.569972	0.364946	0.233460	
1938	-0.008585	-0.071452	0.001187	617	4.517750	0.334980	0.230751	
1939	-0.003093	-0.026867	0.001172	657	4.479678	0.330368	0.227855	
1940	-0.000099	-0.000833	0.001164	641	4.532510	0.355438	0.226189	
1941	0.005329	0.044230	0.001152	664	4.616842	0.373313	0.223866	
1942	-0.001238	-0.010411	0.001247	651	4.589895	0.359753	0.242438	
1943	-0.009374	-0.078206	0.001250	631	4.567152	0.354525	0.242995	
1944	-0.000729	-0.006186	0.001278	643	4.530941	0.339773	0.248530	
1945	-0.006259	-0.053711	0.001298	673	4.539359	0.359488	0.252366	
1946	-0.006353	-0.054642	0.001331	668	4.581895	0.354104	0.258645	
1947	-0.003853	-0.034089	0.001311	663	4.478251	0.348304	0.254859	
1948	-0.009277	-0.077036	0.001516	652	4.555430	0.352887	0.294613	
1949	-0.002912	-0.025522	0.001445	655	4.583224	0.359096	0.280984	
1950	-0.000605	-0.004953	0.001486	651	4.580891	0.364410	0.288859	
1951	-0.005730	-0.048207	0.001454	630	4.571728	0.339191	0.282682	
1952	-0.008685	-0.073783	0.001418	641	4.527197	0.354566	0.275578	
1953	-0.000059	-0.000504	0.001493	636	4.570415	0.356410	0.290290	
1954	-0.002362	-0.020744	0.001333	671	4.518697	0.333340	0.259078	
1955	-0.003177	-0.027684	0.001393	662	4.588387	0.360709	0.270844	
1956	0.000435	0.003757	0.001262	664	4.558926	0.358286	0.245306	
1957	0.002648	0.022685	0.001304	667	4.523923	0.353341	0.253496	
1958	0.005650	0.048828	0.001270	663	4.567514	0.346192	0.246823	
1959	0.004674	0.040441	0.001223	653	4.517819	0.338039	0.237767	
1960	0.004903	0.041891	0.001213	647	4.581584	0.355148	0.235849	
1961	0.007782	0.064595	0.001177	649	4.667269	0.359459	0.228734	
1962	0.008709	0.077763	0.001187	657	4.579379	0.349924	0.230742	
1963	0.003638	0.030275	0.001187	660	4.587980	0.357764	0.230664	
1964	0.002254	0.018921	0.001143	650	4.555010	0.340597	0.222172	
1965	0.003040	0.026731	0.001138	680	4.644717	0.367204	0.221193	
1966	0.007712	0.064286	0.001187	667	4.611744	0.363650	0.230804	
1967	0.002605	0.022441	0.001091	666	4.471069	0.340302	0.212157	
1968	0.003741	0.030727	0.001237	642	4.606041	0.344429	0.240441	
1969	-0.004490	-0.038819	0.001246	648	4.503311	0.341366	0.242267	
1970	-0.003827	-0.032505	0.001315	654	4.582160	0.360063	0.255562	
1971	0.011388	0.099448	0.001249	672	4.572912	0.349020	0.242808	
1972	0.003754	0.032063	0.001372	677	4.517920	0.344760	0.266768	
1973	0.004849	0.040258	0.001271	662	4.647783	0.364039	0.247079	
1974	0.008022	0.068224	0.001281	647	4.542055	0.343876	0.249010	
1975	0.004311	0.037592	0.001090	675	4.577275	0.338364	0.211921	
1976	0.008036	0.070978	0.001042	669	4.551022	0.340412	0.202656	
1977	0.007364	0.062505	0.001005	655	4.524700	0.339298	0.195359	
1978	0.005267	0.045328	0.000953	675	4.508435	0.348269	0.185219	
1979	0.006360	0.054873	0.001039	687	4.532458	0.356887	0.202053	
1980	0.002376	0.019567	0.001039	651	4.559602	0.353703	0.201991	
1981	0.004482	0.038170	0.001016	667	4.600757	0.365486	0.197585	
1982	0.007414	0.066396	0.000976	665	4.504253	0.343602	0.189725	
1983	0.002891	0.024997	0.001122	665	4.626118	0.358416	0.218155	
1984	0.006021	0.053254	0.001082	669	4.560746	0.347244	0.210262	
1985	0.008045	0.069255	0.001062	638	4.511021	0.329854	0.206472	
1986	0.003266	0.028149	0.001081	656	4.549723	0.337407	0.210113	
1987	0.001496	0.012847	0.001030	658	4.598021	0.350532	0.200293	
1988	0.001555	0.012884	0.001052	651	4.603406	0.351428	0.204419	
1989	-0.004345	-0.037647	0.001024	658	4.645957	0.362313	0.199086	
1990	0.006463	0.056770	0.001036	667	4.540425	0.351001	0.201376	
1991	0.000317	0.002662	0.001065	678	4.494955	0.352659	0.206970	
1992	-0.005038	-0.042866	0.001110	669	4.594450	0.342357	0.215804	
1993	-0.005541	-0.046068	0.001065	655	4.524694	0.360035	0.207124	
1994	0.000629	0.005547	0.001147	709	4.591846	0.367814	0.222923	
1995	0.006210	0.051430	0.001154	644	4.587847	0.348274	0.224425	
1996	-0.006376	-0.055645	0.001206	657	4.615938	0.367971	0.234412	
1997	0.002538	0.021711	0.001174	644	4.593778	0.356098	0.228258	
1998	-0.004524	-0.038579	0.001188	671	4.587218	0.343152	0.230942	
1999	0.002247	0.019836	0.001105	647	4.568299	0.344929	0.214761	
2000	-0.000364	-0.003118	0.001140	665	4.580807	0.368123	0.221550	
2001	0.002002	0.016918	0.001159	652	4.455853	0.337320	0.225325	
2002	-0.001544	-0.013762	0.001043	681	4.566285	0.357631	0.202798	
2003	-0.005737	-0.048980	0.001137	655	4.466243	0.357234	0.220989	
2004	-0.002080	-0.017462	0.001081	650	4.535482	0.336845	0.210161	
2005	-0.008357	-0.073660	0.001152	656	4.605867	0.363234	0.223933	
2006	-0.006624	-0.057790	0.001125	648	4.513002	0.340846	0.218787	
2007	-0.001699	-0.014434	0.001141	669	4.556757	0.342156	0.221733	
2008	-0.001117	-0.009386	0.001254	681	4.573023	0.355061	0.243779	
2009	0.003606	0.030016	0.001209	647	4.496988	0.373189	0.235056	
2010	-0.011959	-0.102287	0.001251	645	4.566281	0.352115	0.243207	
2011	-0.002842	-0.024292	0.001245	657	4.566024	0.366796	0.242080	
2012	-0.001167	-0.009708	0.001177	638	4.571434	0.369953	0.228795	
2013	-0.006142	-0.052117	0.001205	642	4.597415	0.359026	0.234226	
2014	-0.002031	-0.016949	0.001137	640	4.556774	0.346416	0.220949	
2015	-0.003440	-0.029230	0.001193	642	4.596822	0.352881	0.231845	
2016	-0.007319	-0.059536	0.001227	654	4.531473	0.356871	0.238485	
2017	-0.002854	-0.024565	0.001174	651	4.574930	0.355316	0.228174	
2018	-0.004511	-0.038220	0.001265	671	4.533379	0.354548	0.245994	
2019	-0.006783	-0.058277	0.001164	690	4.559440	0.357646	0.226300	
2020	-0.004024	-0.034398	0.001275	655	4.574175	0.345984	0.247936	
2021	-0.001375	-0.011805	0.001152	666	4.526873	0.346789	0.223891	
2022	-0.008470	-0.073668	0.001236	661	4.565062	0.329543	0.240275	
2023	-0.004605	-0.038016	0.001264	658	4.613210	0.372579	0.245716	
2024	-0.004851	-0.041147	0.001295	643	4.569366	0.351442	0.251671	
2025	-0.001770	-0.015108	0.001337	653	4.620768	0.365293	0.259916	
2026	-0.005743	-0.048634	0.001286	655	4.484183	0.353042	0.249906	
2027	0.002848	0.023205	0.001368	650	4.537099	0.337094	0.266002	
2028	0.001856	0.015836	0.001410	654	4.496131	0.336362	0.274068	
2029	-0.003124	-0.026654	0.001462	663	4.562372	0.349068	0.284208	
2030	-0.000811	-0.006979	0.001460	650	4.612092	0.343109	0.283844	
2031	-0.001447	-0.012033	0.001542	654	4.478204	0.347680	0.299689	
2032	0.006704	0.057394	0.001373	659	4.468921	0.340279	0.266970	
2033	0.005043	0.042422	0.001278	660	4.458347	0.347682	0.248355	
2034	0.008667	0.073869	0.001195	635	4.540348	0.334035	0.232265	
2035	-0.000292	-0.002461	0.001161	652	4.539090	0.341999	0.225643	
2036	-0.002695	-0.022672	0.001179	633	4.617177	0.365585	0.229116	
2037	0.002484	0.021243	0.001218	654	4.637539	0.361522	0.236708	
2038	-0.005958	-0.052796	0.001090	689	4.530579	0.344303	0.211814	
2039	0.004335	0.036721	0.001188	641	4.616945	0.352864	0.230962	
2040	0.003208	0.027162	0.001300	617	4.512602	0.332547	0.252617	
2041	0.004648	0.040155	0.001185	665	4.513562	0.348304	0.230352	
2042	-0.002332	-0.019886	0.001156	656	4.574014	0.358811	0.224767	
2043	0.001729	0.015274	0.001278	641	4.619798	0.349349	0.248357	
2044	-0.003171	-0.027063	0.001220	651	4.558109	0.355184	0.237234	
2045	0.003282	0.027729	0.001100	654	4.491817	0.332184	0.213828	
2046	0.006825	0.056301	0.001118	657	4.568367	0.346225	0.217409	
2047	0.004927	0.041963	0.001104	663	4.455485	0.332562	0.214693	
2048	0.008990	0.077129	0.001179	672	4.547221	0.349841	0.229110	
2049	0.006107	0.051647	0.001166	635	4.552835	0.370446	0.226697	
2050	0.006228	0.050896	0.001246	624	4.480831	0.354203	0.242214	
2051	0.008338	0.073558	0.001248	694	4.493760	0.338914	0.242651	
2052	0.009248	0.080648	0.001253	663	4.572050	0.354278	0.243563	
2053	-0.001616	-0.013605	0.001260	659	4.593173	0.349621	0.244995	
2054	0.007684	0.065172	0.001241	662	4.629695	0.367371	0.241233	
2055	-0.004658	-0.041336	0.001412	654	4.533115	0.334933	0.274459	
2056	-0.003078	-0.025862	0.001458	663	4.499659	0.362486	0.283493	
2057	0.004560	0.038579	0.001393	677	4.532765	0.362953	0.270847	
2058	0.004540	0.038324	0.001341	643	4.585374	0.347187	0.260607	
2059	-0.000104	-0.000913	0.001320	672	4.557109	0.344052	0.256561	
2060	-0.001897	-0.015898	0.001444	661	4.565289	0.357608	0.280737	
2061	0.002346	0.019680	0.001376	646	4.571450	0.362523	0.267394	
2062	0.005783	0.049334	0.001368	655	4.574828	0.376938	0.265870	
2063	-0.000004	-0.000038	0.001343	666	4.530191	0.343882	0.261043	
2064	-0.000784	-0.006447	0.001331	655	4.576418	0.360045	0.258781	
2065	-0.001439	-0.012425	0.001422	654	4.552562	0.350149	0.276382	
2066	-0.001787	-0.014648	0.001327	639	4.502661	0.336074	0.257969	
2067	-0.009462	-0.082940	0.001197	655	4.556418	0.345650	0.232698	
2068	0.005633	0.048984	0.001295	654	4.486200	0.335792	0.251777	
2069	0.000829	0.007107	0.001438	650	4.477796	0.338777	0.279552	
2070	0.001165	0.009633	0.001506	648	4.573271	0.376138	0.292715	
2071	0.011306	0.098880	0.001317	661	4.517500	0.336141	0.256041	
2072	-0.005003	-0.043058	0.001315	645	4.623763	0.347692	0.255565	
2073	-0.004531	-0.037088	0.001369	630	4.615430	0.362023	0.266052	
2074	-0.001672	-0.014060	0.001344	654	4.578921	0.348774	0.261353	
2075	-0.004428	-0.036694	0.001203	640	4.560863	0.355890	0.233916	
2076	-0.003914	-0.031714	0.001291	635	4.529996	0.357226	0.250897	
2077	0.000963	0.008095	0.001180	675	4.567803	0.382498	0.229385	
2078	0.000126	0.001043	0.001155	627	4.476100	0.364209	0.224463	
2079	-0.003131	-0.026473	0.001102	645	4.535439	0.350044	0.214191	
2080	0.000284	0.002384	0.001189	661	4.621326	0.367585	0.231070	
2081	-0.004761	-0.040016	0.001196	642	4.496201	0.329555	0.232539	
2082	-0.000772	-0.006564	0.000982	658	4.593013	0.348272	0.190932	
2083	-0.001600	-0.013947	0.001007	676	4.548205	0.339541	0.195808	
2084	0.002554	0.021991	0.001025	663	4.569292	0.342213	0.199316	
2085	0.002953	0.025232	0.000984	629	4.449062	0.339038	0.191328	
2086	0.003409	0.029313	0.000997	665	4.508662	0.350922	0.193723	
2087	-0.003213	-0.027740	0.001018	678	4.531882	0.348601	0.197889	
2088	0.001688	0.015044	0.001063	684	4.439026	0.338743	0.206718	
2089	-0.009663	-0.083189	0.001055	649	4.628274	0.352774	0.205152	
2090	-0.000324	-0.002764	0.001129	657	4.543519	0.355213	0.219463	
2091	-0.004852	-0.042343	0.001007	676	4.549241	0.341019	0.195692	
2092	0.000274	0.002264	0.001027	649	4.539563	0.344673	0.199556	
2093	-0.007611	-0.065784	0.001071	665	4.533990	0.339488	0.208177	
2094	-0.004174	-0.036279	0.001127	659	4.534538	0.356682	0.219016	
2095	-0.010961	-0.093431	0.001183	671	4.522840	0.358568	0.229902	
2096	-0.012116	-0.106808	0.001090	672	4.577030	0.337475	0.211868	
2097	-0.010401	-0.089320	0.001092	679	4.565348	0.351581	0.212254	
2098	-0.010093	-0.086201	0.001166	652	4.525715	0.339511	0.226622	
2099	-0.007824	-0.067558	0.001094	648	4.622968	0.373922	0.212583	
2100	-0.004816	-0.042709	0.001127	669	4.615405	0.363929	0.219110	
2101	-0.011813	-0.107896	0.001117	696	4.573672	0.342745	0.217139	
2102	-0.008365	-0.072664	0.001178	650	4.484452	0.327475	0.228952	
2103	-0.002924	-0.024569	0.001251	640	4.550388	0.367026	0.243114	
2104	-0.005732	-0.047943	0.001247	637	4.550529	0.345437	0.242409	
2105	-0.005177	-0.044840	0.001214	659	4.612749	0.361469	0.236059	
2106	0.004820	0.041602	0.001267	650	4.568072	0.354271	0.246269	
2107	0.000309	0.002604	0.001264	658	4.574393	0.345006	0.245642	
2108	-0.002527	-0.021232	0.001391	648	4.541398	0.357759	0.270411	
2109	-0.000446	-0.003689	0.001426	652	4.603715	0.356507	0.277267	
2110	0.004508	0.037642	0.001410	645	4.534050	0.338370	0.274038	
2111	0.001041	0.008746	0.001319	656	4.588971	0.349159	0.256438	
2112	0.005568	0.049640	0.001398	670	4.530994	0.347743	0.271790	
2113	0.003608	0.029681	0.001503	644	4.548625	0.349560	0.292154	
2114	0.011343	0.098379	0.001319	659	4.638438	0.352461	0.256471	
2115	0.003448	0.029612	0.001346	666	4.533244	0.344141	0.261596	
2116	-0.001968	-0.016846	0.001364	632	4.520630	0.341789	0.265131	
2117	0.005459	0.046057	0.001341	658	4.597992	0.357669	0.260627	
2118	0.008829	0.076310	0.001445	657	4.582704	0.353226	0.280860	
2119	-0.000678	-0.005658	0.001451	640	4.535012	0.349745	0.282087	
2120	0.008150	0.068625	0.001332	649	4.513216	0.354845	0.258902	
2121	0.006799	0.059789	0.001228	667	4.471538	0.341053	0.238638	
2122	0.006418	0.053641	0.001228	640	4.492010	0.354019	0.238800	
2123	0.004872	0.041594	0.001187	652	4.608900	0.342681	0.230709	
2124	0.009382	0.079807	0.001198	647	4.583469	0.347822	0.232845	
2125	0.003456	0.031097	0.001255	697	4.592450	0.357120	0.243881	
2126	0.014085	0.122073	0.001174	678	4.538218	0.357493	0.228208	
2127	0.010194	0.087194	0.001269	643	4.506658	0.329979	0.246678	
2128	0.014260	0.118945	0.001157	634	4.586192	0.357590	0.224819	
2129	-0.001328	-0.011272	0.001064	662	4.570848	0.357438	0.206872	
2130	0.007164	0.061853	0.001081	661	4.625770	0.360794	0.210143	
2131	0.003077	0.026059	0.001063	648	4.533134	0.354697	0.206588	
2132	0.008553	0.075633	0.001013	676	4.622066	0.353735	0.196989	
2133	0.008509	0.071924	0.001083	650	4.544074	0.356737	0.210440	
2134	0.000176	0.001518	0.000995	667	4.447047	0.344196	0.193452	
2135	-0.000113	-0.000961	0.000965	653	4.585256	0.362335	0.187649	
2136	0.001475	0.012606	0.000937	652	4.583233	0.345583	0.182239	
2137	-0.001956	-0.016851	0.000980	652	4.587544	0.351423	0.190459	
2138	0.003781	0.031359	0.000985	646	4.566229	0.355862	0.191481	
2139	0.009095	0.075532	0.000994	648	4.527487	0.346979	0.193264	
2140	0.008427	0.074217	0.001059	668	4.555820	0.329979	0.205809	
2141	-0.002186	-0.019404	0.001048	665	4.641271	0.350858	0.203739	
2142	0.003306	0.028899	0.001108	675	4.543971	0.333557	0.215329	
2143	0.002787	0.023110	0.001058	656	4.556713	0.359803	0.205672	
2144	0.007978	0.067687	0.001042	649	4.582343	0.350966	0.202501	
2145	0.003823	0.032848	0.001039	636	4.539709	0.337662	0.201976	
2146	0.002433	0.020777	0.001049	651	4.547772	0.356336	0.203904	
2147	0.006590	0.055246	0.001110	671	4.542289	0.351210	0.215704	
2148	-0.001870	-0.016214	0.001152	675	4.532867	0.349851	0.224012	
2149	0.005016	0.042466	0.001196	632	4.491010	0.346908	0.232407	
2150	-0.006951	-0.061297	0.001201	672	4.613604	0.350816	0.233445	
2151	-0.006208	-0.053174	0.001213	666	4.605988	0.366266	0.235723	
2152	0.005620	0.046910	0.001231	653	4.545697	0.366831	0.239360	
2153	-0.003023	-0.026282	0.001205	646	4.502186	0.330281	0.234340	
2154	0.000789	0.006966	0.001238	679	4.529246	0.350650	0.240752	
2155	0.003895	0.033165	0.001174	634	4.609431	0.364607	0.228302	
2156	0.002654	0.022686	0.001147	643	4.395142	0.343573	0.223042	
2157	0.004158	0.035411	0.001071	645	4.475188	0.339487	0.208246	
2158	0.002976	0.026093	0.001071	677	4.597922	0.354534	0.208215	
2159	0.006655	0.056170	0.001114	662	4.586081	0.350794	0.216648	
2160	-0.000578	-0.004967	0.001050	646	4.557891	0.343852	0.204097	
2161	-0.002080	-0.018194	0.001055	670	4.498841	0.344245	0.205006	
2162	0.004485	0.037926	0.001132	661	4.610944	0.367908	0.220063	
2163	-0.004916	-0.041731	0.001176	639	4.560282	0.347675	0.228620	
2164	0.003267	0.027231	0.001148	635	4.467186	0.343327	0.223070	
2165	-0.003098	-0.025710	0.001193	645	4.536720	0.358528	0.231906	
2166	-0.003788	-0.032424	0.000994	664	4.529197	0.331670	0.193229	
2167	0.006417	0.056358	0.001036	656	4.531804	0.350872	0.201296	
2168	0.002667	0.023842	0.001015	664	4.481254	0.332850	0.197357	
2169	0.002338	0.019390	0.001132	651	4.474908	0.349484	0.220122	
2170	-0.003032	-0.025602	0.001132	635	4.541912	0.344064	0.220074	
2171	-0.004927	-0.043361	0.001074	652	4.555040	0.342113	0.208847	
2172	-0.000825	-0.007167	0.001078	662	4.527398	0.333796	0.209545	
2173	0.002449	0.021273	0.001077	675	4.583085	0.349967	0.209313	
2174	-0.000739	-0.006302	0.001051	682	4.634235	0.355229	0.204394	
